id,name,short,year,last_year,country,sector,sector_note,technology,direction,stage,implementation,plaintiff,tags,summary,limit,sources,alternative_sector,restoration_note,cohort,habeas_vehicle,system_group,included_by_default,data_failure,holding_scope,actual_computer_fault,data_status,citation,computer_fault_note,proposed_model,actual_equipment_failure,electronic_filing_issue,computer_issue_scope
francis-resweber-1947,"Louisiana ex rel. Francis v. Resweber, 329 U.S. 459",Francis,1947,1947,US,Public,State execution equipment and criminal custody.,Physical,Adverse,Adverse,Not established in sources,Human,"[""Design and components"", ""Remedy access""]","Following failed electrocution, denial of writ applications seeking to bar another attempt was affirmed.",Precise equipment defect was not diagnosed; controlling disposition addressed these circumstances.,"[{""label"": ""Supreme Court opinion (1947), pp. 460–66"", ""url"": ""https://supreme.justia.com/cases/federal/us/329/459/""}]",,Requested protection denied; subsequent execution history not coded from this opinion.,added,"State habeas among several writ applications, reviewed by Supreme Court certiorari.",francis-resweber-1947,True,"Actual failed electrical/mechanical execution, not corrupted conviction evidence.",Accidental unsuccessful execution did not bar a subsequent attempt on the record presented.,False,Failed electrocution was established; the plurality treated it as accidental.,,,,True,,
knauff-1950,"United States ex rel. Knauff v. Shaughnessy, 338 U.S. 537",Knauff,1950,1950,US,Public,Federal border exclusion and Ellis Island detention.,Administrative,Adverse,Adverse,Not established in sources,Human,"[""Evidence and data"", ""Notice and hearing"", ""Remedy access""]",Dismissal of habeas challenging exclusion without a hearing was affirmed under the governing emergency entry regime.,The judgment does not establish confidential information was false; coding concerns this decision only.,"[{""label"": ""Supreme Court opinion (1950), pp. 539–47"", ""url"": ""https://supreme.justia.com/cases/federal/us/338/537/""}]",,No admission or release won in this Supreme Court judgment; later administrative history not coded.,added,Federal habeas testing exclusion without a hearing after detention at Ellis Island.,knauff-1950,True,Inaccessible security information and unavailable adversarial testing; falsity not adjudicated.,"Historical initial-entry and emergency exclusion regime, not a rule for every detainee.",False,Inaccessible security information; the selected judgment did not establish falsity.,,,,,,
accardi-1954-1955,"Accardi v. Shaughnessy, 347 U.S. 260; Shaughnessy v. Accardi, 349 U.S. 280",Accardi,1954,1955,US,Public,Federal immigration discretion and alleged superior influence.,Administrative,Adverse,Adverse,Not established in sources,Human,"[""Evidence and data"", ""Authority and rules"", ""Incentives and independence"", ""Remedy access""]","After winning an evidentiary hearing in 1954, the petitioner lost at the latest cited stage in 1955 when the Court sustained dismissal following a finding of independent Board discretion.",Alleged list-driven prejudgment was not established under the controlling 1955 findings.,"[{""label"": ""Supreme Court opinion (1954), pp. 261–68"", ""url"": ""https://supreme.justia.com/cases/federal/us/347/260/""}, {""label"": ""Supreme Court opinion (1955), pp. 281–84"", ""url"": ""https://supreme.justia.com/cases/federal/us/349/280/""}]",,Evidentiary hearing occurred; no protection from deportation established by the selected final decision.,added,Federal habeas challenging denial of discretionary suspension of deportation.,accardi-1954-1955,True,Alleged executive list or program displaced independent judgment; causal influence not proven to Court's satisfaction.,"Latest cited 1955 disposition was adverse. The earlier 1954 decision supplied an opportunity to prove prohibited interference, which was not established under the controlling later findings.",False,Alleged influence; after the ordered hearing the controlling 1955 finding was that the Board exercised independent discretion.,,,,,,
brown,Brown v. Board of Education I and II,Brown I / II,1954,1955,US,Public,The challenged consequential process is controlled by a public institution.,Administrative,Favorable,Merits or injunction,Not established in sources,Represented humans,"[""Classification"", ""Authority and rules"", ""Design and components"", ""Remedy access""]","The Court held public-school segregation unconstitutional and subsequently remanded for equitable implementation, establishing a merits victory against the governing design followed by remedial proceedings.",The paired judgments do not establish immediate nationwide integration; later implementation requires independent historical evidence and cannot be assumed.,"[{""label"": ""Primary decision"", ""url"": ""https://supreme.justia.com/cases/federal/us/347/483/""}, {""label"": ""1955 remedial judgment"", ""url"": ""https://supreme.justia.com/cases/federal/us/349/294/""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,brown,True,,,,,,,,,,
henningsen,Henningsen v. Bloomfield Motors,Henningsen,1960,1960,US,Private,The challenged product or information service is privately operated.,Physical,Favorable,Damages judgment,Not established in sources,Human,"[""Design and components"", ""Authority and rules"", ""Remedy access""]",Judgments against manufacturer and dealer were affirmed after a defective car injured the purchaser’s wife; challenged warranty disclaimers and remedy restrictions were unenforceable.,"The warranty holding is contextual, not a universal invalidation of disclaimers; actual payment is not established here.","[{""label"": ""Primary decision"", ""url"": ""https://law.justia.com/cases/new-jersey/supreme-court/1960/32-n-j-358-0.html""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,henningsen,True,,,,,,,,,,
brady,Brady v. Maryland,Brady,1963,1963,US,Public,The challenged consequential process is controlled by a public institution.,Administrative,Mixed,Mixed disposition,Not established in sources,Human,"[""Evidence and data"", ""Notice and hearing"", ""Remedy access""]","The Court affirmed relief requiring a new punishment proceeding for suppressed material favorable evidence, while declining to require a new trial on guilt.","Mixed reflects the actual scope of relief; a new punishment proceeding is not exoneration, release, or automatic compensation.","[{""label"": ""Primary decision"", ""url"": ""https://supreme.justia.com/cases/federal/us/373/83/""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,brady,True,,,,,,,,,,
greenman,Greenman v. Yuba Power Products,Greenman,1963,1963,US,Private,The challenged product or information service is privately operated.,Physical,Favorable,Damages judgment,Not established in sources,Human,"[""Design and components"", ""Remedy access""]","The California Supreme Court affirmed a $65,000 manufacturer judgment for the injured user and grounded responsibility in strict products liability rather than commercial warranty formalities.",The claimant still needed an injury-producing defect; the opinion does not establish actual payment or subsequent redesign.,"[{""label"": ""Primary decision"", ""url"": ""https://law.justia.com/cases/california/supreme-court/2d/59/57.html""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,greenman,True,,,,,,,,,,
townsend,Townsend v. Sain,Townsend,1963,1963,US,Public,The challenged detention rests on a state criminal conviction; the respondent is the public custodian.,Physical,Favorable,Procedural or interim,Not established in sources,Human,"[""Evidence and data"", ""Remedy access"", ""Notice and hearing""]",The Court reversed and remanded for a federal evidentiary hearing under its then-governing standards.,Keeney later overruled part of Townsend’s hearing framework; modern §2254 restrictions also matter. A drug described as truth serum is not proof that the resulting statement is true.,"[{""label"": ""Primary opinion; pp. 296–300, 320–322"", ""url"": ""https://supreme.justia.com/cases/federal/us/372/293/""}]",,This reviewed decision does not establish completed physical release or subsequent compensation.,added,"Federal habeas petition challenging a state conviction, before AEDPA.",townsend,True,Confession after administration of drugs; disputed voluntariness and inadequate development of drug-related facts.,"Historical hearing victory, not adjudicated innocence or release.",False,Drug administration documented; disputed coercion and effects required a hearing.,372 U.S. 293,"No computer or electrical malfunction is identified as the basis of the reviewed holding; false is a coding exclusion, not a finding about every event in the case.","Record how a statement was produced, not merely the signed or transcribed output.",,,
miller_pate,Miller v. Pate,Miller,1967,1967,US,Public,The challenged detention rests on a state criminal conviction; the respondent is the public custodian.,Physical,Favorable,Merits or injunction,Not established in sources,Human,"[""Evidence and data"", ""Remedy access""]","The Supreme Court held the conviction constitutionally invalid, reversed the appellate judgment, and remanded; the district court had ordered release or prompt retrial.","The Supreme Court opinion does not document subsequent physical release. This was deliberate evidentiary misrepresentation, not an identified instrument malfunction.","[{""label"": ""Primary opinion; pp. 2–7"", ""url"": ""https://supreme.justia.com/cases/federal/us/386/1/""}]",,This reviewed decision does not establish completed physical release or subsequent compensation.,added,"Federal habeas petition challenging a state conviction, before AEDPA.",miller_pate,True,Paint stains were presented as human blood matching the victim’s blood type.,Constitutional merits victory against knowing false evidence.,False,Independent chemical retesting in habeas established paint; prosecution knowledge was established.,386 U.S. 1,"No computer or electrical malfunction is identified as the basis of the reviewed holding; false is a coding exclusion, not a finding about every event in the case.",Preserve the original specimen and provide independent access to retesting.,,,
goldberg,Goldberg v. Kelly,Goldberg,1970,1970,US,Public,The challenged consequential process is controlled by a public institution.,Administrative,Favorable,Merits or injunction,Not established in sources,Represented humans,"[""Notice and hearing"", ""Evidence and data"", ""Remedy access""]","The Court affirmed procedural protections requiring an adequate pretermination evidentiary hearing for the welfare benefits at issue, including meaningful participation and a decision tied to evidence.","This established procedural requirements, not universal continued eligibility, actual benefit delivery, or identical hearing requirements for all public programs.","[{""label"": ""Primary decision"", ""url"": ""https://supreme.justia.com/cases/federal/us/397/254/""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,goldberg,True,,,,,,,,,,
fuentes,Fuentes v. Shevin,Fuentes,1972,1972,US,Mixed,Private creditor assertions activate coercive state seizure; both initiation and enforcement are material to the challenged decision chain.,Administrative,Favorable,Merits or injunction,Not established in sources,Human,"[""Evidence and data"", ""Notice and hearing"", ""Authority and rules"", ""Remedy access""]","The Court invalidated challenged state replevin procedures through which private creditors seized household goods without adequate prior opportunity to contest entitlement, vacating and remanding the judgments.","The decision recognized extraordinary situations permitting delay; modern prejudgment-seizure doctrine requires subsequent-history review, and returned property is not verified.","[{""label"": ""Primary decision"", ""url"": ""https://supreme.justia.com/cases/federal/us/407/67/""}]",Public,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,fuentes,True,,,,,,,,,,
stanley,Stanley v. Illinois,Stanley,1972,1972,US,Public,The challenged consequential process is controlled by a public institution.,Administrative,Favorable,Procedural or interim,Not established in sources,Human,"[""Classification"", ""Evidence and data"", ""Notice and hearing"", ""Authority and rules""]",The Court reversed and remanded because the unmarried father was entitled to an individualized fitness hearing rather than automatic treatment as unfit after the mother’s death.,The Court did not determine parental fitness or order automatic physical return of the children; custody restoration remains unverified here.,"[{""label"": ""Primary decision"", ""url"": ""https://supreme.justia.com/cases/federal/us/405/645/""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,stanley,True,,,,,,,,,,
ward,Ward v. Village of Monroeville,Ward,1972,1972,US,Public,The challenged consequential process is controlled by a public institution.,Administrative,Favorable,Merits or injunction,Not established in sources,Human,"[""Incentives and independence"", ""Authority and rules"", ""Notice and hearing""]",The Court reversed and remanded where a mayor’s responsibility for substantial court revenues compromised the adjudicatory arrangement; a later neutral trial did not cure that defect.,"The decision concerns a specific structural incentive, not a presumption that all public officials or revenue-funded institutions are biased.","[{""label"": ""Primary decision"", ""url"": ""https://supreme.justia.com/cases/federal/us/409/57/""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,ward,True,,,,,,,,,,
goss,Goss v. Lopez,Goss,1975,1975,US,Public,The challenged consequential process is controlled by a public institution.,Administrative,Favorable,Merits or injunction,Not established in sources,Represented humans,"[""Notice and hearing"", ""Evidence and data"", ""Classification"", ""Remedy access""]","The Court affirmed relief against inadequate public-school suspension procedures, including ordered record correction and minimum notice, evidence explanation, and opportunity to give the student’s account.",An order to remove suspension references does not itself verify that every affected school record was corrected.,"[{""label"": ""Primary decision"", ""url"": ""https://supreme.justia.com/cases/federal/us/419/565/""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,goss,True,,,,,,,,,,
oconnor,O’Connor v. Donaldson,O’Connor,1975,1975,US,Public,The challenged consequential process is controlled by a public institution.,Administrative,Mixed,Mixed disposition,Documented some restoration,Human,"[""Classification"", ""Evidence and data"", ""Authority and rules"", ""Remedy access""]",The Court preserved a constitutional liberty holding for the former patient but vacated and remanded for consideration of the superintendent’s immunity from damages.,Donaldson’s earlier release must not be attributed to this Supreme Court decision; final damages and broader institutional reform remain unverified.,"[{""label"": ""Primary decision"", ""url"": ""https://supreme.justia.com/cases/federal/us/422/563/""}]",,"The opinion establishes Donaldson had already been released before this Supreme Court decision; this is documented restoration, not proof the decision caused his release.",original,,oconnor,True,,,,,,,,,,
barker,Barker v. Lull Engineering,Barker,1978,1978,US,Private,The challenged product or information service is privately operated.,Physical,Favorable,Procedural or interim,Not established in sources,Human,"[""Design and components"", ""Evidence and data"", ""Remedy access""]","The defense judgment was reversed for instructional error; the court recognized consumer-expectation and risk-benefit design tests, including a defined conditional burden shift to the manufacturer.",A retrial opportunity is not a damages award; burden shifting requires the claimant’s threshold showing of design-related causation.,"[{""label"": ""Primary decision"", ""url"": ""https://law.justia.com/cases/california/supreme-court/3d/20/413.html""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,barker,True,,,,,,,,,,
craft,"Memphis Light, Gas & Water Division v. Craft",Craft,1978,1978,US,Public,A municipal utility controls billing enforcement and service cutoff. Computer mediation is discussed expressly; the constitutional holding concerns correction procedures.,Computerized,Favorable,Merits or injunction,Not established in sources,Human,"[""Evidence and data"", ""Notice and hearing"", ""Remedy access""]",The Court affirmed inadequate notice and dispute procedures before municipal utility cutoffs; customers required access to personnel empowered to correct errors before deprivation.,The opinion discusses computer-related error risk; it does not establish that all disputed bills arose from a proved software defect.,"[{""label"": ""Primary decision"", ""url"": ""https://supreme.justia.com/cases/federal/us/436/1/""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,craft,True,,,,,,,,,,
monell,Monell v. Department of Social Services,Monell,1978,1978,US,Public,The challenged consequential process is controlled by a public institution.,Administrative,Favorable,Procedural or interim,Not established in sources,Represented humans,"[""Authority and rules"", ""Classification"", ""Remedy access""]",The Court recognized municipal responsibility for constitutional injury caused by official policy or custom and reversed the contrary judgment in the public employees’ maternity-leave litigation.,This opened an institutional-liability route with remand; it did not establish final payment or automatic liability for every employee wrong.,"[{""label"": ""Primary decision"", ""url"": ""https://supreme.justia.com/cases/federal/us/436/658/""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,monell,True,,,,,,,,,,
vitek,Vitek v. Jones,Vitek,1980,1980,US,Public,The challenged consequential process is controlled by a public institution.,Administrative,Favorable,Merits or injunction,Not established in sources,Human,"[""Classification"", ""Notice and hearing"", ""Authority and rules""]","The Court affirmed, with modification, an injunction requiring additional procedural protections before an inmate’s psychiatric transfer and involuntary treatment beyond the underlying prison sentence.",This was not release from prison; independent qualified assistance did not invariably mean a licensed lawyer under the controlling concurrence.,"[{""label"": ""Primary decision"", ""url"": ""https://supreme.justia.com/cases/federal/us/445/480/""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,vitek,True,,,,,,,,,,
grimshaw,Grimshaw v. Ford Motor Co.,Grimshaw,1981,1981,US,Private,The challenged product or information service is privately operated.,Physical,Favorable,Damages judgment,Not established in sources,Human,"[""Design and components"", ""Evidence and data"", ""Incentives and independence""]","The appellate court affirmed judgments arising from a fatal Pinto fire, including Grimshaw’s punitive damages reduced by the trial court to $3.5 million.",Do not report the initial $125 million verdict as sustained; the appellate record does not establish payment or fleetwide repair.,"[{""label"": ""Primary decision"", ""url"": ""https://law.justia.com/cases/california/court-of-appeal/3d/119/757.html""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,grimshaw,True,,,,,,,,,,
logan,Logan v. Zimmerman Brush Co.,Logan,1982,1982,US,Public,"Public adjudication and a state-imposed forfeiture rule are challenged, even though the underlying discrimination allegation concerned a private employer.",Administrative,Favorable,Procedural or interim,Not established in sources,Human,"[""Capacity and delay"", ""Notice and hearing"", ""Remedy access"", ""Authority and rules""]","The Court reversed extinction of a timely discrimination claim caused by the commission’s missed conference deadline, restoring an opportunity for merits consideration under constitutionally adequate procedures.",The decision did not establish the employer committed discrimination or award damages; the private caption does not classify the challenged process.,"[{""label"": ""Primary decision"", ""url"": ""https://supreme.justia.com/cases/federal/us/455/422/""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,logan,True,,,,,,,,,,
santosky,Santosky v. Kramer,Santosky,1982,1982,US,Public,The challenged consequential process is controlled by a public institution.,Administrative,Favorable,Procedural or interim,Not established in sources,Human,"[""Evidence and data"", ""Notice and hearing"", ""Authority and rules""]","The Court vacated and remanded parental-rights termination proceedings, requiring at least clear and convincing evidence at the factfinding stage rather than a preponderance standard.",The decision did not order custody restoration; its qualitative legal burden should not be converted into an invented numerical probability.,"[{""label"": ""Primary decision"", ""url"": ""https://supreme.justia.com/cases/federal/us/455/745/""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,santosky,True,,,,,,,,,,
loudermill,Cleveland Board of Education v. Loudermill,Loudermill,1985,1985,US,Public,The challenged consequential process is controlled by a public institution.,Administrative,Mixed,Mixed disposition,Not established in sources,Human,"[""Notice and hearing"", ""Evidence and data"", ""Capacity and delay"", ""Remedy access""]",The Court allowed pretermination due-process claims to proceed and required a meaningful initial response opportunity; it rejected Loudermill’s separate nine-month-delay claim on the record.,"The primary procedural victory did not establish reinstatement, compensation, or success on every alleged due-process violation.","[{""label"": ""Primary decision"", ""url"": ""https://supreme.justia.com/cases/federal/us/470/532/""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,loudermill,True,,,,,,,,,,
boyle,Boyle v. United Technologies,Boyle,1988,1988,US,Mixed,A private manufacturer produced military equipment under government-approved specifications; federal design discretion and private manufacture materially intersect.,Physical,Mixed,Mixed disposition,Not established in sources,Human,"[""Design and components"", ""Authority and rules"", ""Remedy access""]","The Court recognized a conditional government-contractor defense against military-equipment design claims, but vacated and remanded for clarification of the appellate court’s handling of the facts.",The defense harmed the claimant’s theory while remand preserved unresolved questions; code mixed rather than a final damages victory or blanket contractor immunity.,"[{""label"": ""Primary decision"", ""url"": ""https://supreme.justia.com/cases/federal/us/487/500/""}]",Private,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,boyle,True,,,,,,,,,,
west,West v. Atkins,West,1988,1988,US,Mixed,The state’s custodial medical duty is delivered by a privately contracted doctor. The challenged issue is attribution of public responsibility through private delivery.,Administrative,Favorable,Procedural or interim,Not established in sources,Human,"[""Authority and rules"", ""Remedy access""]","The Court held that a doctor contracted to provide prison medical care acted under color of state law in that function, opening the constitutional claim on remand.","The decision did not find deliberate indifference, award damages, or make every contractor a state actor; function and duty mattered.","[{""label"": ""Primary decision"", ""url"": ""https://supreme.justia.com/cases/federal/us/487/42/""}]",Public,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,west,True,,,,,,,,,,
keeney,Keeney v. Tamayo-Reyes,Keeney,1992,1992,US,Public,The challenged detention rests on a state criminal conviction; the respondent is the public custodian.,Administrative,Adverse,Adverse,Not established in sources,Human,"[""Evidence and data"", ""Remedy access""]",The Supreme Court reversed the ruling entitling the prisoner to an evidentiary hearing and remanded under a cause-and-prejudice or miscarriage-of-justice test.,The Court overruled Townsend only in the identified respect. The modern statute imposes additional constraints; do not present the 1992 test alone as a filing guide.,"[{""label"": ""Primary opinion; pp. 3–5, 11–12"", ""url"": ""https://supreme.justia.com/cases/federal/us/504/1/""}]",,This reviewed decision does not establish completed physical release or subsequent compensation.,added,Federal habeas petition challenging a state no-contest plea.,keeney,True,Alleged incomplete or inaccurate interpretation of the offense’s mental-state element and meaning of the plea.,Adverse hearing-access decision; not a final adjudication that the translation allegation was true.,False,Alleged mistranslation; state findings rejected the challenge; further federal fact development was disputed.,504 U.S. 1,"No computer or electrical malfunction is identified as the basis of the reviewed holding; false is a coding exclusion, not a finding about every event in the case.","Verify understanding before acceptance; retain the source language, interpretation, and contemporaneous comprehension check.",,,
